"replicate","b1_mle","b2_mle","mu_mle","n_tries"
116,1.01926929006154,3.6613459739104,0.996419010563012,6
117,1.00981655554255,3.75421012349939,0.987953892638368,1
118,1.02501756164148,3.65879796339475,1.00216722373951,8
119,1.02336650797638,3.78465844179955,1.00505003859609,11
120,0.979733490845711,3.72224717163686,1.01977092531723,2
121,1.00158852362701,3.77385280206888,0.987600799376713,2
122,1.01652424405404,3.72563511087017,1.00771315164553,1
123,1.04871485911423,3.75686109373582,0.997377517315242,13
124,0.9758588270104,3.72174866245868,1.01016125110962,1
125,1.03400392093967,3.77344681441221,0.998132591665182,9
126,1.01727651777527,3.6683260737331,1.00164486576764,2
127,1.00458670692811,3.75559678793233,1.01912733529204,8
128,0.996722906890766,3.77846382004579,1.0217049307786,7
129,1.00623959101478,3.67334659846558,1.01039035231375,4
130,1.01455116541769,3.6125364642917,1.00479707641689,2
131,1.00964707793366,3.81429388616916,0.99165407902644,1
132,1.02677990351008,3.72119754377193,0.987181952538886,3
133,1.00614081013708,3.74048553349108,1.00426688378266,9
134,0.99402841303082,3.78335668805457,1.01922828008154,2
135,1.01079712246074,3.77690846476196,1.0062993306597,6
136,1.02941404217458,3.78016553594532,0.984986879515359,3
137,0.98599620781625,3.64593019901346,1.02161483171924,3
138,1.00878030564421,3.68279543431867,0.992693366529962,3
139,1.0193199698885,3.76092230337971,1.01169334907129,1
140,0.990219931797745,3.75413019250301,1.00281251477633,7
141,0.99241917974181,3.70369849672528,1.00225003643385,1
142,1.01343981923667,3.70980516345817,0.991710984375779,2
143,0.985636911264393,3.74885487152876,1.023145943594,5
144,1.01618121876914,3.75015243532702,0.994644419147838,2
145,0.986800866314515,3.73475737729103,0.996049046011323,1
146,1.01223218803491,3.61999486854631,1.0012053824636,6
147,0.997787799668596,3.75453626140172,0.992249513347523,11
148,0.998291650200423,3.60745867873374,1.02221279867919,1
149,1.0027582574231,3.72014766545374,1.0143681231812,4
150,0.995258212420217,3.65816802531275,1.00924837404787,6
151,1.02125429522896,3.65145695321634,1.00212706997833,10
152,1.02115718774422,3.65880675821336,0.979843464105148,1
153,1.00441100439455,3.72039207649326,1.00486379821284,2
